highway,checkpoint,point_num,latitude,longitude,qty
A07,Freindorf,577,48.230133,14.298079,80119
A07,Neue Welt,583,48.263751,14.297077,94718
A07,Voest,324,48.284298,14.311862,81220
A07,Hafenstraße,599,48.317117,14.303185,67675
A07,Urfahr-Dornach,675,48.326534,14.307711,51785
A07,Gallneukirchen,153,48.335834,14.38138,38516
A08,Linden,606,48.080245,14.019702,19692
A08,Hof,491,48.166185,13.983201,30716
A08,Krenglbach,162,48.18825,13.953336,47519
A08,Pichl/Bad Schallerbach,169,48.180459,13.900765,36607
A08,Niederndorf,611,48.177931,13.698934,34567
A08,Manhartsgrub,174,48.23611,13.580483,30867
A08,Hötzlarn,180,48.299615,13.475958,31134
A08,Bach,186,48.359563,13.414645,26381
A08,Suben,194,48.395739,13.424998,24568
A09,Schölldorf,201,48.033346,14.061937,24369
A09,Auern,207,47.981831,14.092389,20922
A09,Klaus an der Pyhrnbahn,213,47.818,14.1692,17845
A09,Lainbergtunnel,217,47.751695,14.243493,16889
A09,Spital Am Pyhrn,223,47.67225,14.32943,15341
A09,Selzthaltunnel,402,47.53392,14.312603,25246
A09,Schattenberg,408,47.481556,14.537375,21045
A09,Schoberpaß,414,47.453884,14.665929,21416
A09,Liesingau,420,47.407353,14.774874,21479
A09,Liesing,426,47.382392,14.938095,22118
A09,St. Michael In Der Oberstmk,432,47.348221,15.006735,24799
A09,Gleinalmtunnel,6086,47.312113,15.057586,21620
A09,Prenning,438,47.216824,15.304155,22584
A09,Kn. Peggau-Deutschfeistritz,788,47.176265,15.331538,37596
A09,Gratkorn,618,47.140608,15.346091,41716
A09,Plabutschtunnel,444,47.114889,15.373921,33420
A09,Seiersberg,451,47.02826,15.412964,62627
A09,ASt Schachenwald-IBC,350,46.985455,15.417704,50553
A09,Wundschuh,6070,46.959464,15.440509,45606
A09,Werndorf Terminal,804,46.931609,15.46437,37509
A09,Steinberg,817,46.853762,15.5144,30673
A09,Gabersdorf,463,46.773007,15.582854,24778
A09,Spielfeld,471,46.71251,15.64491,15185
A10,Bischofshofen,342,47.759226,13.004948,21846
A10,Anif,625,47.744235,13.040449,63807
A10,ASt Puch/Urstein,269,47.71042,13.099469,55738
A10,Hallein,285,47.643546,13.136307,50987
A10,Golling,314,47.592001,13.152575,43171
A10,OfenauerTunnel,297,47.558601,13.173272,41057
A10,Tenneck,303,47.484204,13.194334,39934
A10,Werfen,309,47.447624,13.217911,36325
A10,Reitsam,317,47.438711,13.235644,39673
A10,Tunnel Reit,631,47.427538,13.296412,31544
A10,Niedernfritz,323,47.410351,13.391347,29929
A10,Eben Im Pongau,330,47.387428,13.400785,31240
A10,Flachau,336,47.309857,13.39349,14866
A10,Zederhaus,639,47.162134,13.480796,13228
A10,Leoben,605,46.931001,13.597715,13358
A10,Oberallach,570,46.851355,13.498216,16684
A10,SpittalDrau,613,46.803103,13.519983,18044
A10,Kellerberg,623,46.663585,13.721338,19152
A11,St. Ulrich,70,46.612198,13.919819,9364
A11,St. Martin,632,46.583979,13.989386,7501
A11,Karawankentunnel,7140,46.497037,14.017109,5684
A12,Kufstein,638,47.59771,12.175574,39303
A12,Kufstein Süd,96,47.574846,12.145632,41599
A12,Langkampfen,103,47.543153,12.113916,42210
A12,Wörgl,122,47.484193,12.027467,48699
A12,Kundl,87,47.467428,11.951116,46511
A12,Kramsach,152,47.419135,11.852489,46515
A12,Stans,164,47.366879,11.729696,54012
A12,Schwaz,172,47.349277,11.691997,51580
A12,Vomp,8046,47.300235,11.603215,53286
A12,Hall in Tirol Mitte,464,47.277066,11.524055,60438
A12,Ampass,495,47.262853,11.452402,74063
A12,Tunnel Wilten,518,47.25142,11.396249,48578
A12,Zirl,644,47.26775,11.231784,41033
A12,Inzing,650,47.286846,11.180639,38438
A12,Mitterpettnau,656,47.303472,11.124407,36986
A12,Rietz,662,47.290505,11.013298,28833
A12,Haiming,668,47.267002,10.896868,22542
A12,RoppenerTu.,674,47.225637,10.813774,21304
A12,Imst/A12,8126,47.217793,10.725072,22784
A12,Starkenbach,666,47.18315,10.624588,24803
